Date p1_mean p1_median p1_std jd
2020-01-03 -108.43 -108.44 0.21 7307.0
2020-01-07 -108.81 -108.79 0.26 7311.0
2020-01-10 -109.6 -109.59 0.23 7314.0
2020-01-14 -108.5 -108.5 0.23 7318.0
2020-01-21 -108.58 -108.59 0.21 7325.0
2020-01-22 -108.42 -108.43 0.23 7326.0
2020-01-24 -108.41 -108.4 0.22 7328.0
2020-01-28 -108.48 -108.48 0.26 7332.0
2020-01-29 -108.54 -108.55 0.24 7333.0
2020-01-31 -108.59 -108.6 0.25 7335.0
2020-02-04 -108.55 -108.55 0.24 7339.0
2020-02-07 -108.29 -108.28 0.28 7342.0
2020-02-14 -108.53 -108.52 0.27 7349.0
2020-02-18 -108.17 -108.16 0.32 7353.0
2020-02-21 -108.46 -108.45 0.24 7356.0
2020-02-28 -108.55 -108.55 0.22 7363.0
2020-03-02 -108.33 -108.33 0.25 7366.0
2020-03-03 -108.35 -108.35 0.28 7367.0
2020-03-04 -108.4 -108.4 0.25 7368.0
2020-03-10 -108.35 -108.34 0.24 7374.0
2020-03-13 -108.44 -108.44 0.23 7377.0
2020-03-17 -108.5 -108.5 0.2 7381.0
2020-03-20 -109.07 -109.08 0.21 7384.0
2020-03-25 -108.61 -108.62 0.19 7389.0
2020-04-01 -108.56 -108.56 0.17 7396.0
2020-04-15 -108.53 -108.53 0.17 7410.0
2020-04-20 -108.71 -108.71 0.16 7415.0
2020-04-21 -108.72 -108.72 0.16 7416.0
2020-04-22 -108.53 -108.53 0.17 7417.0
2020-04-29 -109.11 -109.11 0.18 7424.0
2020-05-06 -108.7 -108.7 0.18 7431.0
2020-05-13 -109.25 -109.25 0.17 7438.0
2020-05-20 -108.86 -108.86 0.18 7445.0
2020-05-27 -108.66 -108.66 0.17 7452.0
2020-06-03 -110.0 -110.01 0.19 7459.0
2020-06-10 -110.01 -110.07 0.33 7466.0
2020-06-17 -110.25 -110.26 0.24 7473.0
2020-06-23 -110.19 -110.18 0.23 7479.0
2020-06-24 -110.1 -110.11 0.26 7480.0
2020-06-26 -110.26 -110.24 0.22 7482.0
2020-06-30 -110.24 -110.24 0.21 7486.0
2020-07-03 -110.13 -110.12 0.2 7489.0
2020-07-07 -110.13 -110.14 0.22 7493.0
2020-07-10 -110.15 -110.15 0.22 7496.0
2020-07-15 -110.12 -110.13 0.21 7501.0
2020-07-21 -110.12 -110.12 0.23 7507.0
2020-07-24 -110.19 -110.18 0.23 7510.0
2020-07-28 -110.17 -110.17 0.16 7514.0
2020-07-31 -110.01 -110.02 0.22 7517.0
2020-08-04 -110.34 -110.34 0.25 7521.0
2020-08-11 -110.29 -110.3 0.21 7528.0
2020-08-19 -110.43 -110.42 0.21 7536.0
2020-08-25 -110.07 -110.07 0.21 7542.0
2020-08-28 -109.74 -109.74 0.23 7545.0
2020-09-04 -109.87 -109.87 0.21 7552.0
2020-09-09 -110.1 -110.1 0.21 7557.0
