Date pex2_mean pex2_median pex2_std jd
2022-01-11 -128.49 -128.47 0.28 8046.0
2022-01-14 -128.47 -128.49 0.18 8049.0
2022-01-19 -127.98 -127.96 0.18 8054.0
2022-01-21 -128.0 -127.98 0.21 8056.0
2022-01-25 -128.21 -128.23 0.21 8060.0
2022-01-28 -128.16 -128.14 0.18 8063.0
2022-02-01 -128.07 -128.1 0.26 8067.0
2022-02-04 -128.1 -128.12 0.27 8070.0
2022-02-09 -128.16 -128.13 0.32 8075.0
2022-02-15 -128.17 -128.14 0.26 8081.0
2022-02-22 -128.19 -128.16 0.21 8088.0
2022-02-25 -128.07 -128.06 0.24 8091.0
2022-03-04 -128.12 -128.13 0.15 8098.0
2022-03-09 -128.25 -128.25 0.23 8103.0
2022-03-15 -128.24 -128.21 0.23 8109.0
2022-03-18 -128.15 -128.15 0.19 8112.0
2022-03-25 -128.33 -128.32 0.19 8119.0
2022-03-29 -128.43 -128.42 0.21 8123.0
2022-04-01 -128.25 -128.23 0.27 8126.0
2022-04-05 -128.36 -128.35 0.22 8130.0
2022-04-08 -128.19 -128.17 0.23 8133.0
2022-04-12 -128.1 -128.1 0.19 8137.0
2022-04-19 -128.27 -128.26 0.22 8144.0
2022-04-26 -128.43 -128.4 0.24 8151.0
2022-04-29 -128.46 -128.48 0.15 8154.0
2022-05-10 -128.36 -128.37 0.38 8165.0
2022-05-13 -128.45 -128.45 0.2 8168.0
2022-05-19 -128.37 -128.36 0.2 8174.0
2022-05-27 -128.35 -128.36 0.23 8182.0
2022-06-03 -128.25 -128.26 0.2 8189.0
2022-06-07 -128.14 -128.15 0.26 8193.0
2022-06-15 -128.25 -128.23 0.19 8201.0
2022-06-21 -128.64 -128.66 0.22 8207.0
2022-06-28 -128.48 -128.46 0.19 8214.0
2022-07-01 -128.4 -128.41 0.22 8217.0
2022-07-04 -128.32 -128.32 0.22 8220.0
2022-07-05 -128.36 -128.35 0.19 8221.0
2022-07-06 -128.25 -128.27 0.22 8222.0
2022-07-08 -128.37 -128.39 0.15 8224.0
2022-07-12 -128.35 -128.36 0.17 8228.0
2022-07-14 -128.88 -128.85 0.21 8230.0
2022-07-15 -128.7 -128.7 0.19 8231.0
2022-07-18 -128.45 -128.44 0.2 8234.0
2022-07-19 -128.82 -128.84 0.4 8235.0
2022-08-02 -128.37 -128.37 0.23 8249.0
2022-08-05 -128.64 -128.35 2.74 8252.0
2022-08-09 -128.4 -128.41 0.23 8256.0
