Date p2_mean p2_median p2_std jd
2021-05-29 -21.76 -21.76 0.06 7819.0
2021-05-30 -21.77 -21.76 0.06 7820.0
2021-05-31 -21.76 -21.77 0.06 7821.0
2021-06-01 -21.77 -21.77 0.06 7822.0
2021-06-02 -21.74 -21.74 0.05 7823.0
2021-06-03 -21.76 -21.75 0.06 7824.0
2021-06-04 -21.73 -21.73 0.05 7825.0
2021-06-05 -21.66 -21.66 0.05 7826.0
2021-06-06 -21.62 -21.62 0.06 7827.0
2021-06-07 -21.68 -21.68 0.13 7828.0
2021-06-08 -21.63 -21.63 0.06 7829.0
2021-06-09 -21.6 -21.6 0.05 7830.0
2021-06-10 -21.62 -21.62 0.05 7831.0
2021-06-11 -21.6 -21.6 0.06 7832.0
2021-06-12 -21.71 -21.71 0.06 7833.0
2021-06-13 -21.71 -21.71 0.05 7834.0
2021-06-14 -21.72 -21.72 0.05 7835.0
2021-06-21 -21.62 -21.62 0.05 7842.0
2021-06-22 -21.63 -21.63 0.06 7843.0
2021-06-23 -21.64 -21.64 0.05 7844.0
2021-06-24 -21.61 -21.61 0.06 7845.0
2021-06-25 -21.62 -21.62 0.05 7846.0
2021-06-26 -21.73 -21.73 0.06 7847.0
2021-06-27 -21.77 -21.77 0.05 7848.0
2021-06-28 -21.76 -21.76 0.05 7849.0
2021-06-29 -21.74 -21.74 0.05 7850.0
2021-06-30 -21.74 -21.74 0.06 7851.0
2021-07-03 -21.6 -21.6 0.05 7854.0
2021-07-04 -21.63 -21.63 0.05 7855.0
2021-07-05 -21.61 -21.61 0.07 7856.0
2021-07-06 -21.62 -21.62 0.06 7857.0
2021-07-07 -21.6 -21.6 0.05 7858.0
2021-07-08 -21.61 -21.61 0.05 7859.0
2021-07-09 -21.62 -21.61 0.05 7860.0
2021-07-10 -21.75 -21.75 0.05 7861.0
2021-07-11 -21.72 -21.72 0.06 7862.0
2021-07-12 -21.72 -21.72 0.06 7863.0
2021-07-13 -21.72 -21.72 0.06 7864.0
2021-07-14 -21.73 -21.73 0.08 7865.0
2021-07-15 -21.72 -21.71 0.06 7866.0
2021-07-16 -21.59 -21.59 0.05 7867.0
2021-07-17 -21.58 -21.58 0.06 7868.0
2021-07-18 -21.6 -21.6 0.07 7869.0
2021-07-19 -21.56 -21.56 0.06 7870.0
2021-07-20 -21.57 -21.57 0.06 7871.0
2021-07-21 -21.56 -21.57 0.07 7872.0
2021-07-22 -21.59 -21.6 0.07 7873.0
2021-07-23 -21.57 -21.57 0.05 7874.0
2021-07-24 -21.69 -21.69 0.06 7875.0
2021-07-25 -21.69 -21.69 0.05 7876.0
2021-07-26 -21.71 -21.71 0.06 7877.0
2021-07-27 -21.67 -21.67 0.06 7878.0
2021-07-28 -21.68 -21.69 0.08 7879.0
2021-07-30 -21.55 -21.55 0.07 7881.0
2021-08-01 -21.44 -21.5 0.59 7883.0
2021-08-02 -21.46 -21.45 0.11 7884.0
2021-08-03 -21.55 -21.54 0.08 7885.0
2021-08-04 -21.59 -21.59 0.07 7886.0
2021-08-05 -21.49 -21.49 0.07 7887.0
2021-08-06 -21.64 -21.64 0.07 7888.0
2021-08-07 -21.61 -21.61 0.07 7889.0
2021-08-08 -21.6 -21.6 0.07 7890.0
2021-08-09 -21.56 -21.56 0.06 7891.0
2021-08-10 -21.55 -21.55 0.08 7892.0
2021-08-11 -21.6 -21.6 0.06 7893.0
2021-08-12 -21.55 -21.56 0.06 7894.0
2021-08-13 -21.56 -21.56 0.07 7895.0
2021-08-14 -21.55 -21.55 0.06 7896.0
2021-08-15 -21.5 -21.5 0.05 7897.0
2021-08-16 -21.55 -21.55 0.08 7898.0
2021-08-17 -21.49 -21.49 0.06 7899.0
2021-08-18 -21.47 -21.47 0.05 7900.0
2021-08-19 -21.53 -21.52 0.55 7901.0
2021-08-20 -21.51 -21.51 0.06 7902.0
2021-08-21 -21.53 -21.53 0.06 7903.0
2021-08-22 -21.53 -21.53 0.06 7904.0
2021-08-23 -21.52 -21.52 0.06 7905.0
2021-08-24 -21.55 -21.55 0.06 7906.0
2021-08-25 -21.54 -21.54 0.05 7907.0
2021-08-26 -21.53 -21.53 0.05 7908.0
2021-08-28 -21.52 -21.52 0.05 7910.0
2021-08-29 -21.57 -21.57 0.05 7911.0
2021-08-30 -21.53 -21.52 0.07 7912.0
2021-08-31 -21.51 -21.51 0.05 7913.0
2021-09-08 -17.11 -17.11 0.06 7921.0
2021-09-09 -17.09 -17.09 0.05 7922.0
2021-09-10 -17.04 -17.04 0.06 7923.0
2021-09-12 -17.06 -17.06 0.05 7925.0
2021-09-13 -17.09 -17.09 0.07 7926.0
2021-09-14 -17.08 -17.07 0.06 7927.0
2021-09-15 -17.09 -17.09 0.05 7928.0
2021-09-16 -17.18 -17.18 0.05 7929.0
2021-09-17 -17.13 -17.13 0.05 7930.0
2021-09-18 -17.18 -17.19 0.05 7931.0
2021-09-19 -17.2 -17.2 0.07 7932.0
2021-09-20 -17.18 -17.18 0.05 7933.0
2021-09-21 -17.17 -17.17 0.05 7934.0
2021-10-13 -17.94 -17.94 0.05 7956.0
2021-10-14 -17.97 -17.97 0.06 7957.0
2021-10-15 -17.91 -17.9 0.05 7958.0
2021-10-16 -17.86 -17.86 0.05 7959.0
2021-10-17 -19.74 -19.75 0.08 7960.0
2021-10-18 -20.93 -20.94 0.07 7961.0
2021-10-19 -20.9 -20.9 0.05 7962.0
2021-10-21 -20.91 -20.92 0.06 7964.0
2021-10-22 -20.88 -20.88 0.06 7965.0
2021-10-23 -20.96 -20.98 0.36 7966.0
2021-10-24 -19.91 -19.91 0.06 7967.0
2021-10-25 -19.94 -19.94 0.05 7968.0
2021-10-27 -19.96 -19.96 0.06 7970.0
2021-10-28 -19.99 -19.99 0.05 7971.0
2021-10-29 -20.05 -20.05 0.06 7972.0
2021-10-30 -20.0 -20.0 0.05 7973.0
2021-10-31 -19.99 -19.99 0.06 7974.0
2021-11-01 -19.96 -19.96 0.05 7975.0
2021-11-02 -19.95 -19.95 0.06 7976.0
2021-11-03 -20.0 -20.0 0.05 7977.0
2021-11-04 -19.96 -19.95 0.06 7978.0
2021-11-05 -19.96 -19.96 0.07 7979.0
2021-11-06 -20.02 -20.02 0.05 7980.0
2021-11-08 -20.05 -20.05 0.05 7982.0
2021-11-09 -20.02 -20.02 0.08 7983.0
2021-11-10 -19.97 -19.97 0.06 7984.0
2021-11-11 -19.98 -19.98 0.08 7985.0
2021-11-12 -19.9 -19.9 0.06 7986.0
2021-11-14 -19.98 -19.98 0.05 7988.0
2021-11-15 -19.99 -19.99 0.05 7989.0
2021-11-16 -20.0 -20.0 0.08 7990.0
2021-11-17 -19.94 -19.95 0.08 7991.0
2021-11-18 -19.95 -19.95 0.07 7992.0
2021-11-19 -19.98 -19.98 0.05 7993.0
2021-11-20 -20.06 -20.06 0.1 7994.0
2021-11-21 -20.01 -20.01 0.14 7995.0
2021-11-22 -20.04 -20.04 0.08 7996.0
2021-11-23 -20.02 -20.02 0.06 7997.0
2021-11-24 -19.99 -19.99 0.07 7998.0
2021-11-25 -19.63 -19.63 0.05 7999.0
2021-11-26 -19.64 -19.64 0.05 8000.0
2021-11-27 -19.7 -19.7 0.06 8001.0
2021-11-28 -19.72 -19.72 0.07 8002.0
2021-11-30 -19.72 -19.72 0.06 8004.0
2021-12-01 -19.75 -19.75 0.05 8005.0
2021-12-05 -19.77 -19.77 0.08 8009.0
2021-12-06 -19.78 -19.79 0.07 8010.0
2021-12-07 -19.75 -19.75 0.08 8011.0
2021-12-08 -19.69 -19.69 0.06 8012.0
2021-12-09 -19.68 -19.68 0.06 8013.0
2021-12-10 -19.62 -19.62 0.05 8014.0
2021-12-11 -19.68 -19.68 0.05 8015.0
2021-12-12 -19.71 -19.71 0.05 8016.0
2021-12-13 -19.69 -19.69 0.06 8017.0
2021-12-14 -19.7 -19.7 0.05 8018.0
2021-12-15 -19.71 -19.71 0.06 8019.0
2021-12-16 -19.72 -19.72 0.05 8020.0
2021-12-17 -19.61 -19.61 0.08 8021.0
2021-12-18 -19.62 -19.62 0.05 8022.0
2021-12-19 -19.62 -19.63 0.07 8023.0
2021-12-20 -19.65 -19.65 0.07 8024.0
2021-12-21 -19.62 -19.63 0.09 8025.0
2021-12-22 -19.62 -19.63 0.08 8026.0
2021-12-23 -19.61 -19.6 0.06 8027.0
2021-12-24 -19.66 -19.66 0.06 8028.0
2021-12-25 -19.66 -19.66 0.07 8029.0
2021-12-26 -19.68 -19.68 0.05 8030.0
2021-12-27 -19.71 -19.71 0.09 8031.0
2021-12-28 -19.7 -19.7 0.04 8032.0
2021-12-29 -19.74 -19.74 0.06 8033.0
2021-12-30 -19.67 -19.67 0.06 8034.0
2022-01-01 -19.65 -19.65 0.05 8036.0
2022-01-02 -19.65 -19.65 0.06 8037.0
2022-01-03 -19.69 -19.68 0.06 8038.0
2022-01-04 -19.65 -19.66 0.07 8039.0
2022-01-05 -19.95 -19.95 0.05 8040.0
2022-01-06 -19.98 -19.98 0.05 8041.0
2022-01-08 -20.01 -20.01 0.06 8043.0
2022-01-09 -20.01 -20.01 0.06 8044.0
2022-01-10 -19.99 -19.99 0.06 8045.0
2022-01-11 -19.94 -19.92 0.16 8046.0
2022-01-12 -19.88 -19.88 0.09 8047.0
2022-01-13 -19.87 -19.87 0.05 8048.0
2022-01-14 -19.88 -19.88 0.05 8049.0
2022-01-15 -19.85 -19.85 0.05 8050.0
2022-01-16 -19.84 -19.84 0.05 8051.0
2022-01-17 -19.85 -19.85 0.05 8052.0
2022-01-18 -19.8 -19.8 0.05 8053.0
2022-01-19 -19.93 -19.93 0.05 8054.0
2022-01-20 -19.91 -19.91 0.05 8055.0
2022-01-21 -19.92 -19.91 0.05 8056.0
2022-01-22 -20.02 -20.02 0.06 8057.0
2022-01-23 -20.01 -20.01 0.06 8058.0
2022-01-24 -20.01 -20.01 0.06 8059.0
2022-01-25 -19.96 -19.96 0.05 8060.0
2022-01-26 -19.9 -19.9 0.06 8061.0
2022-01-27 -20.01 -20.01 0.05 8062.0
2022-01-28 -19.9 -19.9 0.05 8063.0
2022-01-29 -19.88 -19.88 0.05 8064.0
2022-01-30 -19.88 -19.88 0.05 8065.0
2022-01-31 -19.9 -19.91 0.06 8066.0
2022-02-01 -19.89 -19.89 0.05 8067.0
2022-02-02 -19.86 -19.86 0.08 8068.0
2022-02-03 -19.89 -19.89 0.09 8069.0
2022-02-04 -19.91 -19.91 0.09 8070.0
2022-02-05 -19.96 -19.96 0.06 8071.0
2022-02-06 -20.0 -19.99 0.07 8072.0
2022-02-07 -19.95 -19.94 0.05 8073.0
2022-02-08 -19.97 -19.97 0.05 8074.0
2022-02-09 -19.92 -19.92 0.05 8075.0
2022-02-10 -20.0 -19.99 0.2 8076.0
2022-02-11 -19.93 -19.92 0.08 8077.0
2022-02-14 -19.84 -19.84 0.06 8080.0
2022-02-15 -19.84 -19.84 0.05 8081.0
2022-02-16 -19.81 -19.81 0.08 8082.0
2022-02-17 -19.84 -19.84 0.05 8083.0
2022-02-18 -19.82 -19.82 0.05 8084.0
2022-02-19 -19.91 -19.91 0.06 8085.0
2022-02-20 -19.88 -19.88 0.05 8086.0
2022-02-21 -19.95 -19.95 0.08 8087.0
2022-02-24 -19.91 -19.91 0.05 8090.0
2022-02-25 -19.97 -19.97 0.09 8091.0
2022-02-26 -19.88 -19.88 0.05 8092.0
2022-02-27 -19.88 -19.88 0.07 8093.0
2022-03-31 -19.83 -19.83 0.06 8125.0
2022-04-01 -19.8 -19.8 0.06 8126.0
2022-04-03 -19.89 -19.88 0.07 8128.0
2022-04-04 -19.88 -19.88 0.07 8129.0
2022-04-05 -19.84 -19.83 0.05 8130.0
2022-04-06 -19.84 -19.84 0.07 8131.0
2022-04-07 -19.83 -19.83 0.06 8132.0
2022-04-08 -19.91 -19.91 0.06 8133.0
2022-04-09 -19.56 -19.55 0.07 8134.0
2022-04-10 -19.59 -19.58 0.15 8135.0
2022-04-11 -19.57 -19.57 0.05 8136.0
2022-04-12 -19.57 -19.57 0.1 8137.0
2022-04-13 -19.58 -19.58 0.05 8138.0
2022-04-14 -19.54 -19.54 0.05 8139.0
2022-04-15 -19.61 -19.61 0.09 8140.0
2022-04-16 -19.54 -19.54 0.07 8141.0
2022-04-17 -19.54 -19.54 0.06 8142.0
2022-04-18 -19.65 -19.65 0.07 8143.0
2022-04-19 -19.6 -19.6 0.06 8144.0
2022-04-20 -19.68 -19.68 0.06 8145.0
2022-04-21 -19.6 -19.61 0.06 8146.0
2022-04-22 -19.61 -19.62 0.06 8147.0
2022-04-23 -19.6 -19.6 0.06 8148.0
2022-04-25 -19.5 -19.5 0.06 8150.0
2022-04-26 -19.52 -19.52 0.05 8151.0
2022-04-27 -19.49 -19.5 0.07 8152.0
2022-04-28 -19.51 -19.51 0.05 8153.0
2022-04-29 -19.53 -19.53 0.05 8154.0
2022-04-30 -19.63 -19.63 0.05 8155.0
2022-05-01 -19.62 -19.62 0.05 8156.0
2022-05-02 -19.49 -19.49 0.05 8157.0
2022-05-03 -19.6 -19.6 0.05 8158.0
2022-05-04 -19.61 -19.61 0.04 8159.0
2022-05-05 -19.55 -19.55 0.04 8160.0
2022-05-06 8161.0   
2022-05-10 -19.46 -19.46 0.05 8165.0
2022-05-11 -19.47 -19.47 0.05 8166.0
2022-05-12 -19.55 -19.55 0.11 8167.0
2022-05-13 -19.5 -19.5 0.05 8168.0
2022-05-14 -19.5 -19.5 0.05 8169.0
2022-05-15 -19.55 -19.55 0.1 8170.0
2022-05-16 -19.47 -19.47 0.09 8171.0
2022-05-17 -19.59 -19.59 0.07 8172.0
2022-05-18 -19.55 -19.55 0.05 8173.0
2022-05-19 -19.51 -19.52 0.07 8174.0
2022-05-20 -19.61 -19.61 0.06 8175.0
2022-05-21 -19.53 -19.53 0.06 8176.0
2022-05-22 -19.48 -19.48 0.05 8177.0
2022-05-23 -19.5 -19.5 0.06 8178.0
2022-05-24 -19.49 -19.49 0.05 8179.0
2022-05-25 -19.47 -19.47 0.05 8180.0
2022-05-26 -19.48 -19.48 0.07 8181.0
2022-05-27 -19.53 -19.52 0.12 8182.0
2022-05-28 -19.58 -19.58 0.08 8183.0
2022-05-29 -19.58 -19.58 0.07 8184.0
2022-05-30 -19.6 -19.6 0.06 8185.0
2022-05-31 -19.58 -19.58 0.05 8186.0
2022-06-01 -19.59 -19.59 0.07 8187.0
2022-06-02 -19.58 -19.58 0.06 8188.0
2022-06-03 -19.56 -19.57 0.05 8189.0
2022-06-04 -19.56 -19.56 0.05 8190.0
2022-06-05 -19.59 -19.59 0.05 8191.0
2022-06-06 -19.46 -19.47 0.06 8192.0
2022-06-07 -19.48 -19.48 0.05 8193.0
2022-06-08 -19.46 -19.46 0.05 8194.0
2022-06-09 -19.48 -19.48 0.05 8195.0
2022-06-10 -19.48 -19.48 0.05 8196.0
2022-06-11 -19.58 -19.58 0.05 8197.0
2022-06-12 -19.61 -19.61 0.05 8198.0
2022-06-13 -25.65 -22.7 7.33 8199.0
2022-06-14 -19.55 -19.55 0.05 8200.0
2022-06-15 -19.56 -19.56 0.05 8201.0
2022-06-16 -19.53 -19.53 0.05 8202.0
