Date p1_mean p1_median p1_std
2020-08-28 -19.38 -15.17 11.97
2020-08-29 -1741.69 -32.26 6497.48
2020-08-30 -32.03 -32.04 0.15
2020-08-31 -32.04 -32.14 1.12
2020-09-02 -32.15 -32.16 0.1
2020-09-03 -27.12 -27.13 0.07
2020-09-04 -31.95 -31.95 0.07
2020-09-05 -32.6 -32.6 0.07
2020-09-07 -32.57 -32.57 0.06
2020-09-08 -32.56 -32.56 0.08
2020-09-09 -32.56 -32.56 0.05
2020-09-11 -32.53 -32.53 0.07
2020-09-12 -31.86 -31.86 0.07
2020-09-13 -32.0 -32.01 0.11
2020-09-14 -30.61 -30.6 0.11
2020-09-15 -31.99 -32.0 0.09
2020-09-17 -27.04 -27.04 0.05
2020-09-18 -32.04 -32.03 0.11
2020-09-19 -32.41 -32.41 0.07
2020-09-20 -27.18 -27.18 0.12
2020-09-21 -31.92 -31.92 0.07
2020-09-22 -32.28 -32.28 0.07
2020-09-23 -32.58 -32.58 0.08
2020-09-24 -32.5 -32.5 0.07
2020-09-29 -27.05 -27.06 0.1
2020-09-30 -32.0 -32.0 0.12
2020-10-01 -31.91 -31.97 0.34
2020-10-03 -32.22 -32.22 0.16
2020-10-04 -32.61 -32.61 0.17
2020-10-05 -32.4 -32.4 0.11
2020-10-06 -32.46 -32.46 0.07
2020-10-07 -31.99 -31.99 0.09
2020-10-08 -32.34 -32.34 0.08
2020-10-09 -31.67 -31.66 0.07
2020-10-10 -31.94 -31.94 0.09
2020-10-11 -32.02 -32.02 0.1
2020-10-12 -31.86 -31.85 0.1
2020-10-13 -31.92 -31.92 0.09
2020-10-14 -32.07 -32.07 0.11
2020-10-15 -26.99 -26.99 0.04
2020-10-16 -31.72 -31.72 0.13
2020-10-17 -32.46 -32.46 0.07
2020-10-18 -32.44 -32.44 0.07
2020-10-20 -32.47 -32.47 0.07
2020-10-21 -32.33 -32.32 0.07
2020-10-22 -32.36 -32.37 0.09
2020-10-23 -32.03 -32.03 0.1
2020-10-24 -31.96 -31.91 0.46
2020-10-25 -31.97 -31.96 0.16
2020-10-26 -31.76 -31.76 0.11
2020-10-27 -31.98 -32.0 0.12
2020-10-28 -31.93 -31.94 0.11
2020-10-29 -31.62 -31.62 0.12
2020-10-30 -32.01 -32.02 0.12
2020-10-31 -27.01 -27.01 0.07
2020-11-01 -32.36 -32.36 0.07
2020-11-02 -32.08 -32.08 0.09
2020-11-03 -32.37 -32.37 0.08
2020-11-04 -32.11 -32.1 0.07
2020-11-06 -32.15 -32.16 0.14
2020-11-07 -31.99 -31.99 0.12
2020-11-08 -31.78 -31.78 0.09
2020-11-09 -31.89 -31.88 0.12
2020-11-10 -30.99 -30.99 0.05
2020-11-11 -31.91 -31.91 0.09
2020-11-12 -31.76 -31.75 0.08
2020-11-13 -32.19 -32.19 0.09
2020-11-14 -32.44 -32.44 0.07
2020-11-15 -31.98 -31.98 0.06
2020-11-16 -31.87 -31.87 0.09
2020-11-17 -31.86 -31.86 0.11
2020-11-18 -32.24 -32.23 0.07
2020-11-19 -32.36 -32.37 0.09
2020-11-20 -32.16 -32.15 0.08
2020-11-21 -31.86 -31.86 0.11
2020-11-22 -31.8 -31.78 0.17
2020-11-23 -31.94 -31.95 0.11
2020-11-24 -32.01 -32.0 0.13
2020-11-25 -31.83 -31.83 0.1
2020-11-26 -31.73 -31.72 0.12
2020-11-27 -31.76 -31.76 0.11
2020-11-28 -32.15 -32.15 0.08
2020-11-29 -32.07 -32.07 0.07
2020-11-30 -31.65 -31.65 0.08
2020-12-01 -32.2 -32.2 0.06
2020-12-02 -32.18 -32.18 0.08
2020-12-03 -32.12 -32.12 0.07
2020-12-05 -31.74 -31.73 0.11
2020-12-06 -31.31 -31.31 0.08
2020-12-08 -31.23 -31.23 0.08
2020-12-09 -32.14 -32.14 0.09
2020-12-10 -31.74 -31.74 0.07
2020-12-11 -32.02 -32.02 0.07
2020-12-12 -31.87 -31.87 0.07
2020-12-13 -32.41 -32.41 0.08
2020-12-14 -32.27 -32.27 0.08
2020-12-15 -32.23 -32.23 0.06
2020-12-16 -31.99 -31.99 0.07
2020-12-18 -31.84 -31.84 0.07
2020-12-19 -31.96 -31.98 0.12
2020-12-20 -31.96 -31.97 0.07
2020-12-21 -31.89 -31.89 0.08
2020-12-22 -31.81 -31.81 0.09
2020-12-23 -31.92 -31.93 0.09
2020-12-24 -31.3 -31.31 0.09
2020-12-25 -31.77 -31.77 0.08
2020-12-26 -32.25 -32.24 0.07
2020-12-27 -31.84 -31.84 0.07
2020-12-28 -32.01 -32.01 0.07
2020-12-29 -31.82 -31.82 0.08
2020-12-30 -32.14 -32.14 0.07
2020-12-31 -31.65 -31.65 0.08
2021-01-01 -31.73 -31.73 0.07
2021-01-02 -31.64 -31.64 0.11
2021-01-03 -31.55 -31.55 0.11
2021-01-04 -31.59 -31.59 0.12
2021-01-05 -31.68 -31.67 0.14
2021-01-06 -31.65 -31.66 0.12
2021-01-07 -31.15 -31.16 0.1
2021-01-08 -31.68 -31.68 0.08
2021-01-09 -31.67 -31.66 0.07
2021-01-10 -31.68 -31.68 0.08
2021-01-11 -31.76 -31.77 0.11
2021-01-12 -31.4 -31.4 0.09
2021-01-13 -31.43 -31.43 0.08
2021-01-14 -31.15 -31.15 0.12
2021-01-15 -31.77 -31.77 0.07
2021-01-16 -31.35 -31.35 0.09
2021-01-17 -30.96 -30.96 0.07
2021-01-18 -31.77 -31.77 0.07
2021-01-19 -31.8 -31.81 0.08
2021-01-20 -31.86 -31.85 0.1
2021-01-21 -31.36 -31.36 0.07
2021-01-22 -31.7 -31.7 0.07
2021-01-23 -30.97 -30.97 0.08
2021-01-24 -31.72 -31.72 0.08
2021-01-25 -31.59 -31.59 0.09
2021-01-26 -31.99 -31.99 0.09
2021-01-27 -31.51 -31.51 0.08
2021-01-28 -31.9 -31.9 0.08
2021-01-29 -31.43 -31.43 0.07
2021-01-30 -31.21 -31.21 0.08
2021-01-31 -31.03 -31.04 0.11
2021-02-01 -31.23 -31.23 0.09
2021-02-02 -31.23 -31.23 0.12
2021-02-03 -31.45 -31.45 0.08
2021-02-04 -31.79 -31.79 0.08
2021-02-05 -31.12 -31.13 0.08
2021-02-06 -31.77 -31.77 0.09
2021-02-07 -31.01 -31.01 0.1
2021-02-08 -32.03 -32.03 0.08
2021-02-09 -31.99 -31.99 0.08
2021-02-10 -31.52 -31.52 0.1
2021-02-11 -31.56 -31.56 0.08
2021-02-12 -31.67 -31.67 0.09
2021-02-13 -31.86 -31.86 0.09
2021-02-14 -31.8 -31.79 0.09
2021-02-15 -31.12 -31.12 0.09
2021-02-16 -32.17 -32.17 0.07
2021-02-17 -31.71 -31.7 0.1
2021-02-18 -31.79 -31.79 0.08
2021-02-19 -32.1 -32.09 0.13
2021-02-20 -31.17 -31.17 0.12
2021-02-21 -31.69 -31.69 0.09
2021-02-22 -32.06 -32.06 0.11
2021-02-23 -32.0 -32.0 0.08
2021-02-24 -32.14 -32.14 0.08
2021-02-25 -31.91 -31.91 0.08
2021-02-26 -31.6 -31.6 0.07
2021-02-27 -26.53 -26.53 0.06
2021-02-28 -31.98 -31.98 0.07
2021-03-01 -32.0 -32.0 0.09
2021-03-02 -31.78 -31.79 0.14
2021-03-03 -31.42 -31.43 0.12
2021-03-04 -31.51 -31.5 0.11
2021-03-05 -31.65 -31.64 0.07
2021-03-06 -31.85 -31.85 0.1
2021-03-07 -31.54 -31.54 0.08
2021-03-11 -31.76 -31.76 0.08
2021-03-12 -32.1 -32.1 0.08
2021-03-13 -31.68 -31.67 0.11
2021-03-14 -31.42 -31.43 0.1
2021-03-15 -31.42 -31.42 0.14
2021-03-16 -33.58 -33.21 0.75
2021-03-17 -31.09 -31.09 0.12
2021-03-18 -31.55 -31.55 0.1
2021-03-19 -26.36 -26.37 0.05
2021-03-20 -26.5 -26.46 0.27
2021-03-21 -31.99 -31.99 0.07
2021-03-22 -31.41 -31.41 0.15
2021-03-23 -32.0 -32.0 0.08
2021-03-24 -31.62 -31.62 0.07
2021-03-26 -31.45 -31.45 0.07
2021-03-27 -31.39 -31.28 0.26
2021-03-29 -30.82 -30.82 0.06
2021-03-30 -31.33 -31.33 0.09
2021-03-31 -31.33 -31.33 0.1
2021-04-01 -31.18 -31.19 0.09
2021-04-02 -30.61 -30.61 0.07
2021-04-04 -31.98 -31.98 0.08
2021-04-05 -30.95 -30.94 0.12
2021-04-06 -31.82 -31.82 0.07
2021-04-07 -31.24 -31.24 0.1
2021-04-08 -31.48 -31.48 0.08
2021-04-09 -31.87 -31.87 0.08
2021-04-10 -31.17 -31.17 0.1
2021-04-11 -30.66 -30.66 0.09
2021-04-12 -31.53 -31.53 0.08
2021-04-13 -31.1 -31.1 0.08
2021-04-14 -31.06 -31.06 0.09
2021-04-15 -31.07 -31.07 0.1
2021-04-16 -31.11 -31.11 0.08
2021-04-17 -31.8 -31.79 0.12
2021-04-18 -31.44 -31.44 0.11
2021-04-19 -31.61 -31.61 0.08
2021-04-20 -31.08 -31.08 0.09
2021-04-25 -29.09 -29.09 0.08
2021-04-29 -29.08 -29.08 0.07
2021-04-30 -29.69 -29.69 0.08
2021-05-01 -29.65 -29.65 0.08
2021-05-02 -29.3 -29.3 0.1
2021-05-03 -28.61 -28.61 0.09
2021-05-04 -28.81 -28.81 0.08
2021-05-05 -25.12 -25.12 0.09
2021-05-06 -24.86 -24.86 0.08
2021-05-07 -24.75 -24.75 0.08
2021-05-08 -24.3 -24.3 0.07
2021-05-09 -24.77 -24.77 0.07
2021-05-10 -24.24 -24.24 0.09
2021-05-11 -24.73 -24.73 0.07
2021-05-15 -25.83 -25.78 0.23
2021-05-16 -24.53 -24.54 0.08
2021-05-17 -25.29 -25.3 0.08
2021-05-18 -25.15 -25.14 0.08
2021-05-19 -25.19 -25.19 0.08
2021-05-20 -24.1 -24.1 0.11
2021-05-21 -24.6 -24.59 0.08
2021-05-23 -24.08 -24.08 0.08
2021-05-24 -22.68 -22.81 1.25
2021-05-27 -24.52 -24.52 0.08
2021-05-28 -23.95 -23.95 0.06
2021-05-29 -24.09 -24.08 0.08
2021-05-30 -23.85 -23.84 0.11
2021-05-31 -25.17 -25.17 0.08
2021-06-01 -24.43 -24.43 0.08
2021-06-02 -23.78 -23.78 0.08
2021-06-03 -25.08 -25.08 0.08
2021-06-04 -24.95 -24.94 0.1
2021-06-05 -24.46 -24.46 0.08
2021-06-06 -24.32 -24.32 0.06
2021-06-07 -24.53 -24.53 0.1
2021-06-08 -24.33 -24.33 0.08
2021-06-09 -21.6 -21.6 0.05
2021-06-10 -24.67 -24.67 0.08
2021-06-11 -24.31 -24.31 0.08
2021-06-12 -25.12 -25.12 0.08
2021-06-13 -25.15 -25.15 0.08
2021-06-14 -25.16 -25.15 0.07
2021-06-21 -27.04 -27.04 0.09
2021-06-22 -23.46 -23.46 0.07
2021-06-23 -23.82 -23.82 0.07
2021-06-24 -24.15 -24.15 0.07
2021-06-25 -24.89 -24.89 0.06
2021-06-26 -25.23 -25.23 0.07
2021-06-27 -25.17 -25.17 0.08
2021-06-28 -25.24 -25.24 0.09
2021-06-29 -25.16 -25.16 0.07
2021-06-30 -24.67 -24.67 0.08
2021-07-03 -24.64 -24.63 0.08
2021-07-04 -24.63 -24.64 0.08
2021-07-05 -24.48 -24.49 0.09
2021-07-06 -24.24 -24.25 0.08
2021-07-07 -24.79 -24.79 0.08
2021-07-08 -24.31 -24.31 0.07
2021-07-09 -24.24 -24.24 0.08
2021-07-10 -25.31 -25.31 0.1
2021-07-11 -25.19 -25.19 0.08
2021-07-12 -21.72 -21.72 0.06
2021-07-13 -24.94 -24.93 0.08
2021-07-14 -25.18 -25.18 0.08
2021-07-15 -25.02 -25.02 0.08
2021-07-16 -24.02 -24.03 0.08
2021-07-17 -24.62 -24.62 0.07
2021-07-18 -24.71 -24.71 0.08
2021-07-20 -24.48 -24.48 0.08
2021-07-21 -24.78 -24.77 0.08
2021-07-22 -24.48 -24.48 0.09
2021-07-23 -24.53 -24.53 0.07
2021-07-24 -25.04 -25.04 0.07
2021-07-25 -24.98 -24.98 0.07
2021-07-26 -25.17 -25.17 0.08
2021-07-27 -25.3 -25.3 0.09
2021-07-28 -24.73 -24.73 0.09
2021-07-29 -24.96 -24.96 0.08
2021-07-30 -3.62 -5.67 5.83
2021-08-01 -24.5 -24.5 0.07
2021-08-02 -23.96 -23.96 0.09
2021-08-03 -24.18 -24.18 0.08
2021-08-04 -24.44 -24.44 0.09
2021-08-05 -24.62 -24.62 0.08
2021-08-06 -24.14 -24.14 0.07
2021-08-07 -25.02 -25.02 0.08
2021-08-08 -24.89 -24.89 0.08
2021-08-09 -24.89 -24.88 0.09
2021-08-10 -25.09 -25.09 0.08
2021-08-11 -24.97 -24.97 0.09
2021-08-12 -25.01 -25.01 0.08
2021-08-13 -24.65 -24.65 0.07
2021-08-14 -24.36 -24.36 0.09
2021-08-15 -24.26 -24.26 0.06
2021-08-16 -24.02 -24.02 0.09
2021-08-17 -23.97 -23.97 0.09
2021-08-18 -24.51 -24.51 0.09
2021-08-19 -24.17 -24.17 0.1
2021-08-20 -24.53 -24.53 0.09
2021-08-21 -25.11 -25.11 0.09
2021-08-22 -25.03 -25.04 0.08
2021-08-23 -24.9 -24.9 0.09
2021-08-24 -24.94 -24.94 0.07
2021-08-25 -25.07 -25.07 0.08
2021-08-26 -24.92 -24.92 0.08
2021-08-27 -21.49 -21.49 0.06
2021-08-28 -24.37 -24.37 0.05
2021-08-29 -24.11 -24.1 0.08
2021-08-30 -24.15 -24.15 0.09
2021-08-31 -24.04 -24.04 0.08
2021-09-07   
2021-09-08 -20.92 -20.92 0.08
2021-09-09 -20.73 -20.74 0.08
2021-09-10 -20.32 -20.32 0.08
2021-09-11 -20.67 -20.67 0.07
2021-09-12 -20.64 -20.65 0.07
2021-09-13 -19.38 -19.38 0.08
2021-09-14 -20.58 -20.58 0.07
2021-09-15 -20.79 -20.79 0.07
2021-09-16 -19.48 -19.5 0.14
2021-09-17 -20.59 -20.59 0.09
2021-09-18 -17.18 -17.18 0.05
2021-09-19 -20.9 -20.9 0.07
2021-09-20 -20.78 -20.78 0.08
2021-09-21 -20.94 -20.93 0.07
2021-09-30 -9.71 -11.35 29.54
2021-10-01 -85.77 -94.73 20.96
2021-10-02 -2.93 -3.23 16.64
2021-10-03 -91.09 -96.44 20.41
2021-10-04 -6.35 -3.69 16.74
2021-10-05 -93.38 -95.66 17.06
2021-10-06 10.64 10.99 28.11
2021-10-12 -17.98 -17.98 0.18
2021-10-13 -21.31 -21.3 0.09
2021-10-14 -21.41 -21.41 0.09
2021-10-15 -21.4 -21.39 0.08
2021-10-16 -20.56 -20.56 0.06
2021-10-17 -22.86 -22.8 0.69
2021-10-18 -23.89 -23.9 0.07
2021-10-19 -24.56 -24.56 0.06
2021-10-21 -24.02 -24.02 0.09
2021-10-22 -24.31 -24.31 0.07
2021-10-23 -24.21 -24.21 0.1
2021-10-24 -23.08 -23.08 0.09
2021-10-25 -23.21 -23.21 0.07
2021-10-27 -23.51 -23.51 0.07
2021-10-28 -23.44 -23.44 0.09
2021-10-29 -23.4 -23.41 0.08
2021-10-30 -23.65 -23.65 0.06
2021-10-31 -23.62 -23.63 0.08
2021-11-01 -23.14 -23.14 0.07
2021-11-02 -23.11 -23.11 0.08
2021-11-03 -21.99 -21.99 0.06
2021-11-04 -23.49 -23.49 0.11
2021-11-05 -23.22 -23.22 0.1
2021-11-06 -23.21 -23.2 0.09
2021-11-07 -23.44 -23.44 0.07
2021-11-08 -23.48 -23.49 0.08
2021-11-09 -23.27 -23.27 0.11
2021-11-10 -23.68 -23.68 0.07
2021-11-11 -23.66 -23.66 0.08
2021-11-12 -23.09 -23.09 0.07
2021-11-14 -23.15 -23.15 0.06
2021-11-15 -23.63 -23.63 0.07
2021-11-16 -23.69 -23.69 0.09
2021-11-17 -23.5 -23.5 0.1
2021-11-18 -23.0 -23.0 0.09
2021-11-19 -23.11 -23.11 0.12
2021-11-20 -22.88 -22.87 0.13
2021-11-21 -23.62 -23.62 0.11
2021-11-22 -23.11 -23.12 0.12
2021-11-23 -23.13 -23.13 0.11
2021-11-24 -23.53 -23.53 0.09
2021-11-25 -23.03 -23.02 0.09
2021-11-26 -22.89 -22.9 0.08
2021-11-27 -23.17 -23.17 0.08
2021-11-28 -23.38 -23.38 0.07
2021-11-29 -23.17 -23.17 0.06
2021-11-30 -23.19 -23.19 0.08
2021-12-01 -22.69 -22.68 0.09
2021-12-02 -23.35 -23.35 0.07
2021-12-03 -19.74 -19.74 0.06
2021-12-04 -22.85 -22.84 0.1
2021-12-05 -22.98 -22.98 0.11
2021-12-06 -22.94 -22.95 0.1
2021-12-07 -22.84 -22.84 0.1
2021-12-08 -23.26 -23.26 0.09
2021-12-09 -23.35 -23.35 0.07
2021-12-10 -22.99 -22.99 0.07
2021-12-11 -23.33 -23.33 0.06
2021-12-12 -23.34 -23.35 0.05
2021-12-13 -23.4 -23.4 0.07
2021-12-14 -23.36 -23.36 0.06
2021-12-15 -23.17 -23.17 0.08
2021-12-16 -23.31 -23.31 0.07
2021-12-17 -22.84 -22.84 0.08
2021-12-18 -22.81 -22.81 0.07
2021-12-19 -22.82 -22.82 0.07
2021-12-20 -22.91 -22.91 0.08
2021-12-21 -22.9 -22.9 0.09
2021-12-22 -16.36 -12.86 8.41
2021-12-23 -45.22 -45.27 3.01
2021-12-24 -22.88 -22.88 0.08
2021-12-25 -23.2 -23.2 0.07
2021-12-26 -23.36 -23.36 0.06
2021-12-27 -23.39 -23.39 0.13
2021-12-28 -23.28 -23.28 0.05
2021-12-29 -22.89 -22.89 0.09
2021-12-30 -23.24 -23.23 0.12
2022-01-01 -23.33 -23.33 0.06
2022-01-02 -23.33 -23.33 0.06
2022-01-03 -23.3 -23.3 0.07
2022-01-04 -23.3 -23.3 0.05
2022-01-05 -23.61 -23.61 0.06
2022-01-06 -23.59 -23.59 0.06
2022-01-08 -23.67 -23.67 0.06
2022-01-09 -23.36 -23.36 0.1
2022-01-10 -23.57 -23.57 0.06
2022-01-11 -23.31 -23.31 0.06
2022-01-12 -22.81 -22.81 0.08
2022-01-13 -22.97 -22.98 0.09
2022-01-14 -23.44 -23.44 0.07
2022-01-15 -23.48 -23.48 0.06
2022-01-16 -23.48 -23.48 0.07
2022-01-17 -23.49 -23.49 0.06
2022-01-18 -23.48 -23.49 0.07
2022-01-19 -23.61 -23.61 0.07
2022-01-20 -23.11 -23.11 0.07
2022-01-21 -23.21 -23.21 0.07
2022-01-22 -23.33 -23.33 0.07
2022-01-23 -23.02 -23.03 0.13
2022-01-24 -23.65 -23.65 0.05
2022-01-25 -23.12 -23.12 0.1
2022-01-26 -23.36 -23.37 0.07
2022-01-27 -23.16 -23.15 0.09
